year,deforestation,govern
1988,21050,Sarney
1989,17770,Sarney
1990,13730,Sarney
1991,11030,Collor
1992,13786,Collor
1993,14896,Franco
1994,14896,Franco
1995,29059,Franco
1996,18161,Cardoso
1997,13227,Cardoso
1998,17383,Cardoso
1999,17259,Cardoso
2000,18226,Cardoso
2001,18165,Cardoso
2002,21650,Cardoso
2003,25396,da Silva
2004,27772,da Silva
2005,19014,da Silva
2006,14286,da Silva
2007,11651,da Silva
2008,12911,da Silva
2009,7464,da Silva
2010,7000,da Silva
2011,6418,Rousseff
2012,4571,Rousseff
2013,5891,Rousseff
2014,5012,Rousseff
2015,6207,Rousseff
2016,7893,Rousseff
2017,6947,Temer
2018,7536,Temer
2019,10129,Bolsonaro
2020,10851,Bolsonaro
2021,13038,Bolsonaro
